address	price	Bedrooms	Bath	Lot Size	Property Age	Gross Taxes for 2020	Area	Sub-Area/Community	Property Type	Title	Style																	
2663 E 54th Avenue	"$2,980,000"	10	11	6144 ft²	Built in 2014 (6 yrs old)	"$8,282"	Vancouver East	Killarney	House	Freehold NonStrata	"Laneway House,3 Storey w/Bsmt"																	
2052 E 49th Avenue	"$1,288,000"	3	4	33 ft x 144 ft (4752 ft²)	Built in 2020 (0 yrs old)	Vancouver East	Killarney	Duplex	Freehold Strata	3 Storey	144																	
68 6501 Chambord Place	"$988,000"	3	3	Built in 1990 (30 yrs old)	"$2,458"	$586	Vancouver East	Killarney	Townhouse	Freehold Strata	"2 Storey w/Bsmt.,End Unit"																	
207 6991 Victoria Drive	"$349,000"	0	1	Built in 1999 (21 yrs old)	$949	$187	Vancouver East	Killarney	Apt/Condo	Freehold Strata	Inside Unit																	
6930 Rupert Street	"$2,798,000"	7	7	33 ft x 143 ft (4724 ft²)	Built in 2020 (0 yrs old)	"$6,427"	Vancouver East	Killarney	House	Freehold NonStrata	"2 Storey w/Bsmt.,Corner Unit"																	
6191 Boundary Road	"$1,490,000"	6	3	5406 ft²	Built in 1965 (55 yrs old)	"$5,120"	Vancouver East	Killarney	House	Freehold NonStrata	2 Storey																	
2060 E 51st Avenue Avenue	"$1,720,000"	4	4	33 ft x 122 ft (4026 ft²)	Built in 1990 (30 yrs old)	"$5,723"	Vancouver East	Killarney	House	Freehold NonStrata	2 Storey w/Bsmt.																	
2211 E 43rd Avenue	"$1,790,000"	6	4	33 ft x 112 ft (3703 ft²)	Built in 2010 (10 yrs old)	"$5,957"	Vancouver East	Killarney	House	Freehold NonStrata	2 Storey																	
2155 E 51st Avenue	"$2,180,000"	6	6	33 ft x 122 ft (4026 ft²)	Built in 2013 (7 yrs old)	"$5,714"	Vancouver East	Killarney	House	Freehold NonStrata	3 Storey																	
6831 Victoria Drive	"$1,050,000"	3	3	0 ft²	Built in 2006 (14 yrs old)	"$3,450"	Vancouver East	Killarney	Duplex	Freehold NonStrata	2 Storey																	
5638 Wessex Street	"$729,000"	3	3	Built in 1999 (21 yrs old)	"$1,618"	$435	Vancouver East	Killarney	Townhouse	Freehold Strata	2 Storey																	
6776 Arlington Street	"$774,000"	4	2	Built in 1972 (48 yrs old)	"$1,514"	$165	Vancouver East	Killarney	Townhouse	Freehold Strata	"2 Storey w/Bsmt.,Split Entry"																	
5795 Wales Street	"$948,000"	2	2	Built in 2018 (2 yrs old)	"$2,264"	$315	Vancouver East	Killarney	Townhouse	Freehold Strata	2 Storey																	
3143 E 46th Avenue	"$1,720,000"	4	4	33 ft x 109 ft (3597 ft²)	Built in 1992 (28 yrs old)	"$5,646"	Vancouver East	Killarney	House	Freehold NonStrata	2 Storey w/Bsmt.																	
5756 St. Margarets Street	"$1,880,000"	6	3	41 ft x 117 ft (4838 ft²)	Built in 1980 (40 yrs old)	"$5,795"	Vancouver East	Killarney	House	Freehold NonStrata	2 Storey																	
6281 Knight Street	"$2,450,000"	5	4	43 ft x 115 ft (4945 ft²)	Built in 1964 (56 yrs old)	"$5,433"	Vancouver East	Knight	House	Freehold NonStrata	2 Storey																	
6295 Knight Street	"$2,450,000"	5	4	43 ft x 115 ft (4945 ft²)	Built in 1964 (56 yrs old)	"$5,000"	Vancouver East	Knight	House	Freehold NonStrata	2 Storey																	
4480 Knight Street	"$2,398,000"	5	2	48 ft x 113 ft (5426 ft²)	Built in 1948 (72 yrs old)	"$5,060"	Vancouver East	Knight	House	Freehold NonStrata	2 Storey w/Bsmt.																	
1375 E 18th Avenue	"$1,349,000"	5	3	29 ft x 121 ft (3598 ft²)	Built in 1992 (28 yrs old)	"$6,360"	Vancouver East	Knight	House	Freehold NonStrata	2 Storey w/Bsmt.																	
1389 E 18th Avenue	"$1,349,000"	5	3	29 ft x 121 ft (3598 ft²)	Built in 1992 (28 yrs old)	"$5,453"	Vancouver East	Knight	House	Freehold NonStrata	2 Storey w/Bsmt.																	
1326 E 36th Avenue	"$2,398,000"	7	6	33 ft x 110 ft (3642 ft²)	Built in 2018 (2 yrs old)	"$5,057"	Vancouver East	Knight	House	Freehold NonStrata	"Basement Entry,Laneway House"																	
1604 E 36 Avenue	"$1,198,000"	4	4	33 ft x 110 ft (3630 ft²)	Built in 2020 (0 yrs old)	$0	Vancouver East	Knight	Duplex	Freehold NonStrata	3 Storey w/Bsmt.																	
526 4078 Knight Street	"$598,800"	1	1	Built in 2008 (12 yrs old)	"$1,539"	$289	Vancouver East	Knight	Apt/Condo	Freehold Strata	1 Storey																	
852 1483 E King Edward Avenue	"$744,800"	2	2	Built in 2007 (13 yrs old)	"$1,934"	$350	Vancouver East	Knight	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"																	
4580 Dumfries Street	"$1,279,000"	3	4	0 ft²	Built in 2020 (0 yrs old)	$0	$0	Vancouver East	Knight	Duplex	Freehold Strata																	
1313 E 20th Avenue	"$1,199,900"	3	2	Built in 2020 (0 yrs old)	$0	$0	Vancouver East	Knight	Townhouse	Freehold Strata	2 Storey																	
1315 E 20th Avenue	"$1,699,900"	4	4	49 ft x 122 ft (6039 ft²)	Built in 2020 (0 yrs old)	$0	$0	Vancouver East	Knight	Duplex	Freehold Strata																	
6130 Fleming Street	"$1,850,000"	7	4	33 ft x 122 ft (4039 ft²)	Built in 1970 (50 yrs old)	"$5,291"	Vancouver East	Knight	House	Freehold NonStrata	2 Storey																	
3532 Knight Street	"$1,350,000"	4	2	33 ft x 105 ft (3468 ft²)	Built in 1948 (72 yrs old)	"$4,692"	Vancouver East	Knight	House	Freehold NonStrata	2 Storey																	
318 4028 Knight Street	"$510,000"	1	1	Built in 2008 (12 yrs old)	"$1,210"	$241	Vancouver East	Knight	Apt/Condo	Freehold Strata	"Inside Unit,Upper Unit"																	
4040 Inverness Street	"$1,798,000"	5	3	32 ft x 106 ft (3497 ft²)	Built in 1928 (92 yrs old)	"$6,222"	Vancouver East	Knight	House	Freehold NonStrata	"1 1/2 Storey,Basement Entry"																	
3708 Dumfries Street	"$1,599,000"	8	4	33 ft x 122 ft (4026 ft²)	Built in 1930 (90 yrs old)	"$5,538"	Vancouver East	Knight	House	Freehold NonStrata	2 Storey																	
4228 Perry Street	"$1,150,000"	3	3	33 ft x 122 ft (4026 ft²)	Built in 2019 (1 yrs old)	"$3,403"	Vancouver East	Knight	Duplex	Freehold NonStrata	2 Storey																	
5254 Sherbrooke Street	"$1,775,000"	4	4	33 ft x 98 ft (3234 ft²)	Built in 2002 (18 yrs old)	"$5,292"	Vancouver East	Knight	House	Freehold NonStrata	3 Storey																	
3458 Knight Street	"$1,800,000"	5	2	33 ft x 105 ft (3469 ft²)	Built in 1952 (68 yrs old)	"$4,774"	Vancouver East	Knight	House	Freehold NonStrata	"2 Storey,Split Entry"																	
3470 Knight Street	"$1,800,000"	5	2	30 ft x 105 ft (3469 ft²)	Built in 1947 (73 yrs old)	"$4,614"	Vancouver East	Knight	House	Freehold NonStrata	Rancher/Bungalow w/Bsmt.																	
1333 E 41st Avenue	"$2,388,800"	7	2	33 ft x 97 ft (3201 ft²)	Built in 1954 (66 yrs old)	"$4,310"	Vancouver East	Knight	House	Freehold NonStrata	2 Storey																	
4717 Lanark Street	"$1,199,888"	6	6	24 ft x 132 ft (3267 ft²)	Built in 2021 (-1 yrs old)	"$5,942"	Vancouver East	Knight	House	Freehold NonStrata	2 Storey																	
4363 Dumfries Street	"$1,788,000"	7	4	39 ft x 118 ft (4640 ft²)	Built in 1965 (55 yrs old)	"$5,851"	Vancouver East	Knight	House	Freehold NonStrata	2 Storey w/Bsmt.																	
1419 E 27th Avenue	"$2,199,000"	2	0	50 ft x 110 ft (5515 ft²)	Built in 1945 (75 yrs old)	"$5,777"	Vancouver East	Knight	House	Freehold NonStrata	Rancher/Bungalow w/Bsmt.																	
1427 E 27th Avenue	"$2,199,000"	2	0	50 ft x 110 ft (5515 ft²)	Built in 1945 (75 yrs old)	"$5,873"	Vancouver East	Knight	House	Freehold NonStrata	Rancher/Bungalow w/Bsmt.																	
5635 Lanark Street	"$1,699,000"	6	4	33 ft x 124 ft (4104 ft²)	Built in 1987 (33 yrs old)	"$5,737"	Vancouver East	Knight	House	Freehold NonStrata	2 Storey																	
5330 Knight Street	"$1,350,000"	2	2	33 ft x 114 ft (3784 ft²)	Built in 1941 (79 yrs old)	"$4,447"	Vancouver East	Knight	House	Freehold NonStrata	2 Storey w/Bsmt.																	
5330 Knight Street	"$1,350,000"	2	2	33 ft x 114 ft (3784 ft²)	Built in 1941 (79 yrs old)	"$4,447"	Vancouver East	Knight	House	Freehold NonStrata	2 Storey w/Bsmt.																	
706 1503 Kingsway Street	"$1,049,900"	2	2	Built in 2023 (-3 yrs old)	$0	$387	Vancouver East	Knight	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
1001 1503 Kingsway Street	"$668,900"	1	1	Built in 2023 (-3 yrs old)	$0	$269	Vancouver East	Knight	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
311 1503 Kingsway Street	"$689,900"	2	1	Built in 2023 (-3 yrs old)	$0	$291	Vancouver East	Knight	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
305 3688 Inverness Street	"$578,000"	2	2	Built in 2013 (7 yrs old)	"$1,432"	$316	Vancouver East	Knight	Apt/Condo	Freehold Strata	"Inside Unit,Upper Unit"																	
5877 Dumfries Street	"$1,598,000"	5	4	33 ft x 123 ft (4068 ft²)	Built in 1966 (54 yrs old)	"$4,337"	Vancouver East	Knight	House	Freehold NonStrata	2 Storey																	
Ph3 3939 Knight Street	"$699,000"	2	2	Built in 2017 (3 yrs old)	"$2,086"	$443	Vancouver East	Knight	Apt/Condo	Freehold Strata	"Corner Unit,Penthouse"																	
557 1483 E King Edward Avenue	"$568,000"	1	1	Built in 2008 (12 yrs old)	"$1,624"	$272	Vancouver East	Knight	Apt/Condo	Freehold Strata	Corner Unit																	
312 1503 Kingsway Street	"$609,900"	1	1	Built in 2023 (-3 yrs old)	$0	$237	Vancouver East	Knight	Apt/Condo	Freehold Strata	1 Storey																	
506 1503 Kingsway Street	"$744,900"	2	2	Built in 2023 (-3 yrs old)	$0	$300	Vancouver East	Knight	Apt/Condo	Freehold Strata	5 Plus Level																	
317 1503 Kingsway Street	"$849,900"	2	2	Built in 2023 (-3 yrs old)	$0	$319	Vancouver East	Knight	Apt/Condo	Freehold Strata	5 Plus Level																	
320 4028 Knight Street	"$449,800"	1	1	Built in 2008 (12 yrs old)	"$1,119"	$218	Vancouver East	Knight	Apt/Condo	Freehold Strata	Inside Unit																	
219 E 20th Avenue	"$694,900"	1	2	Built in 2020 (0 yrs old)	$0	$305	Vancouver East	Main	Apt/Condo	Freehold Strata	Ground Level Unit																	
3260 Quebec Street	"$2,298,000"	4	4	44 ft x 132 ft (5808 ft²)	Built in 1905 (115 yrs old)	"$8,628"	Vancouver East	Main	House	Freehold NonStrata	"2 Storey,Carriage/Coach House"																	
266 E 21st Avenue	"$2,298,000"	5	3	33 ft x 122 ft (4036 ft²)	Built in 1912 (108 yrs old)	"$8,397"	Vancouver East	Main	House	Freehold NonStrata	2 Storey w/Bsmt.																	
5676 Main Street	"$1,338,800"	5	2	0 ft²	Built in 1988 (32 yrs old)	"$4,242"	$0	Vancouver East	Main	Duplex	Freehold Strata																	
169 E 22 Avenue	"$2,699,900"	6	4	32 ft x 122 ft (3904 ft²)	Built in 2007 (13 yrs old)	"$7,893"	Vancouver East	Main	House	Freehold NonStrata	2 Storey w/Bsmt.																	
601 5089 Quebec Street	"$1,499,900"	2	2	Built in 2019 (1 yrs old)	"$3,897"	$513	Vancouver East	Main	Apt/Condo	Freehold Strata	"Corner Unit,Penthouse"																	
308 168 E 35th Avenue	"$1,458,800"	3	2	Built in 2017 (3 yrs old)	"$3,572"	$474	Vancouver East	Main	Apt/Condo	Freehold Strata	Corner Unit																	
230 E 17th Avenue	"$2,598,000"	5	3	33 ft x 122 ft (4027 ft²)	Built in 1908 (112 yrs old)	"$6,719"	Vancouver East	Main	House	Freehold NonStrata	2 Storey w/Bsmt.																	
240 E 17th Avenue	"$2,398,000"	5	4	33 ft x 122 ft (4027 ft²)	Built in 1910 (110 yrs old)	"$6,648"	Vancouver East	Main	House	Freehold NonStrata	2 Storey w/Bsmt.																	
223 E 20th Avenue	"$659,900"	1	2	Built in 2020 (0 yrs old)	$0	$296	Vancouver East	Main	Apt/Condo	Freehold Strata	Ground Level Unit																	
603 5089 Quebec Street	"$1,537,900"	3	2	Built in 2019 (1 yrs old)	"$3,917"	$513	Vancouver East	Main	Apt/Condo	Freehold Strata	"Corner Unit,Penthouse"																	
203 6460 Main Street	"$775,000"	2	2	Built in 2006 (14 yrs old)	"$1,723"	$333	Vancouver East	Main	Apt/Condo	Freehold Strata	Upper Unit																	
229 E 20th Avenue	"$699,900"	1	2	Built in 2020 (0 yrs old)	$0	$306	Vancouver East	Main	Apt/Condo	Freehold Strata	Ground Level Unit																	
87 E 46th Avenue	"$1,699,000"	8	5	32 ft x 126 ft (4032 ft²)	Built in 1988 (32 yrs old)	"$7,040"	Vancouver East	Main	House	Freehold NonStrata	2 Storey																	
150 E 46th Avenue	"$2,368,000"	6	4	32 ft x 126 ft (4032 ft²)	Built in 2009 (11 yrs old)	"$7,735"	Vancouver East	Main	House	Freehold NonStrata	2 Storey																	
150 E 46th Avenue	"$2,368,000"	6	4	32 ft x 126 ft (4032 ft²)	Built in 2009 (11 yrs old)	"$7,735"	Vancouver East	Main	House	Freehold NonStrata	2 Storey																	
4980 Walden Street	"$3,280,000"	4	5	33 ft x 122 ft (4026 ft²)	Built in 2020 (0 yrs old)	"$5,001"	Vancouver East	Main	House	Freehold NonStrata	2 Storey w/Bsmt.																	
4994 Main Street	"$2,350,000"	4	2	33 ft x 112 ft (3696 ft²)	Built in 1970 (50 yrs old)	"$5,597"	Vancouver East	Main	House	Freehold NonStrata	2 Storey																	
303 189 Ontario Place	"$499,000"	1	1	Built in 2003 (17 yrs old)	"$1,404"	$344	Vancouver East	Main	Apt/Condo	Freehold Strata	Corner Unit																	
381 E 34th Avenue	"$1,599,000"	4	3	33 ft x 105 ft (3494 ft²)	Built in 1945 (75 yrs old)	"$5,354"	Vancouver East	Main	House	Freehold NonStrata	2 Storey w/Bsmt.																	
5670 Sophia Street	"$2,900,000"	6	4	33 ft x 125 ft (4125 ft²)	Built in 1988 (32 yrs old)	"$6,819"	Vancouver East	Main	House	Freehold NonStrata	2 Storey																	
11 E King Edward Avenue	"$1,649,000"	4	3	33 ft x 100 ft (3300 ft²)	Built in 1976 (44 yrs old)	"$5,188"	Vancouver East	Main	House	Freehold NonStrata	2 Storey																	
368 E 33rd Avenue	"$3,860,000"	6	7	33 ft x 98 ft (3325 ft²)	Built in 2012 (8 yrs old)	"$7,033"	Vancouver East	Main	House	Freehold NonStrata	3 Storey																	
4891 Walden Street	"$2,699,000"	5	6	32 ft x 132 ft (4224 ft²)	Built in 2007 (13 yrs old)	"$7,001"	Vancouver East	Main	House	Freehold NonStrata	2 Storey w/Bsmt.																	
311 189 Ontario Place	"$673,000"	2	2	Built in 2003 (17 yrs old)	"$1,723"	$410	Vancouver East	Main	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"																	
55 E 49th Avenue	"$2,500,000"	7	3	33 ft x 142 ft (4686 ft²)	Built in 1971 (49 yrs old)	"$6,039"	Vancouver East	Main	House	Freehold NonStrata	2 Storey																	
3071 Clark Drive	"$1,699,900"	3	4	35 ft x 136 ft (4760 ft²)	Built in 2020 (0 yrs old)	$0	$0	Vancouver East	Mount Pleasant East	Duplex	Freehold Strata															"Central Airconditioning, In Suite Laundry"	1	Yes
1604 1708 Ontario Street	"$828,000"	1	1	Built in 2019 (1 yrs old)	"$2,352"	$229	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	Corner Unit																	
1203 1708 Ontario Street	"$1,169,900"	2	2	Built in 2019 (1 yrs old)	"$3,332"	$338	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"																	
306 930 E 7th Avenue	"$444,800"	1	1	Built in 1974 (46 yrs old)	$823	$247	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	"Penthouse,Upper Unit"																	
1103 1708 Ontario Street	"$1,189,000"	2	2	Built in 2019 (1 yrs old)	"$3,303"	$330	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	Upper Unit																	
26 E 1st Avenue	"$1,500,000"	3	3	Built in 2019 (1 yrs old)	"$4,122"	$439	Vancouver East	Mount Pleasant East	Townhouse	Freehold Strata	2 Storey																	
485 E 11th Avenue	"$1,788,800"	3	4	Built in 2020 (0 yrs old)	$0	$0	Vancouver East	Mount Pleasant East	Townhouse	Freehold Strata	2 Storey																	
413 2142 Carolina Street	"$449,900"	1	1	Built in 1976 (44 yrs old)	"$1,271"	$374	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	"Corner Unit,Penthouse"																	
915 1618 Quebec Street	"$729,900"	1	1	Built in 2014 (6 yrs old)	"$1,786"	$364	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	1 Storey																	
307 311 E 6th Avenue	"$628,000"	1	1	Built in 2017 (3 yrs old)	"$1,559"	$223	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	Upper Unit																	
1010 E 7th Avenue	"$1,349,900"	2	2	Built in 2020 (0 yrs old)	$0	$0	Vancouver East	Mount Pleasant East	Townhouse	Freehold Strata	2 Storey																	
1014 E 7th Avenue	"$1,375,000"	3	2	Built in 2020 (0 yrs old)	$0	$0	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	1 Storey																	
505 110 Switchmen Street	"$1,150,000"	2	2	Built in 2014 (6 yrs old)	"$3,091"	$643	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	1 Storey																	
1016 E 7th Avenue	"$1,288,000"	2	2	Built in 2020 (0 yrs old)	$0	$0	Vancouver East	Mount Pleasant East	Townhouse	Freehold Strata	2 Storey w/Bsmt.																	
1036 E 14th Avenue	"$639,500"	2	1	30 ft x 122 ft (0 ft²)	Built in 2021 (-1 yrs old)	"$5,705"	$0	Vancouver East	Mount Pleasant East	Duplex	Freehold Strata																	
1034 E 14th Avenue	"$1,669,900"	4	3	30 ft x 122 ft (0 ft²)	Built in 2021 (-1 yrs old)	"$5,705"	$0	Vancouver East	Mount Pleasant East	Duplex	Freehold Strata																	
1206 E 11th Avenue	"$1,898,000"	5	3	33 ft x 125 ft (4125 ft²)	Built in 1986 (34 yrs old)	$0	Vancouver East	Mount Pleasant East	House	Freehold NonStrata	2 Storey																	
1816 1618 Quebec Street	"$1,249,000"	2	2	Built in 2014 (6 yrs old)	"$3,318"	$573	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	Corner Unit																	
W308 488 Kingsway Street	"$650,000"	2	2	Built in 1995 (25 yrs old)	"$1,583"	$348	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	Inside Unit																	
301 233 Kingsway	"$549,900"	0	1	Built in 2017 (3 yrs old)	$0	$177	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	Corner Unit																	
1402 1688 Pullman Porter Street	"$4,200,000"	2	3	Built in 2018 (2 yrs old)	"$7,199"	$890	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	Penthouse																	
3071 Clark Drive	"$1,699,900"	3	4	35 ft x 136 ft (4760 ft²)	Built in 2020 (0 yrs old)	$0	$0	Vancouver East	Mount Pleasant East	Duplex	Freehold Strata															"Central Airconditioning, In Suite Laundry"	1	Yes
323 350 E 2nd Avenue	"$639,900"	1	1	Built in 1995 (25 yrs old)	"$1,583"	$311	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	Live/Work Studio																	
105 288 E 14th Avenue	"$488,000"	1	1	Built in 1983 (37 yrs old)	"$1,198"	$345	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	"Corner Unit,Ground Level Unit"																	
2501 1775 Quebec Street	"$9,288,000"	3	4	Built in 2014 (6 yrs old)	"$26,654"	"$1,695"	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	Penthouse																	
3075 Clark Drive	"$1,749,900"	3	4	35 ft x 136 ft (4760 ft²)	Built in 2020 (0 yrs old)	$0	$0	Vancouver East	Mount Pleasant East	Duplex	Freehold Strata															"Central Airconditioning, In Suite Laundry"	1	Yes
3071 Clark Drive	"$1,699,900"	3	4	35 ft x 136 ft (4760 ft²)	Built in 2020 (0 yrs old)	$0	$0	Vancouver East	Mount Pleasant East	Duplex	Freehold Strata															"Central Airconditioning, In Suite Laundry"	1	Yes
406 1708 Ontario Street	"$1,399,000"	3	2	Built in 2019 (1 yrs old)	$0	$405	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
850 E 12th Avenue	"$1,499,000"	6	4	33 ft x 122 ft (4026 ft²)	Built in 1912 (108 yrs old)	"$4,298"	Vancouver East	Mount Pleasant East	House	Freehold NonStrata	2 Storey w/Bsmt.																	
1907 1775 Quebec Street	"$778,900"	1	1	Built in 2014 (6 yrs old)	"$2,030"	$339	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
703 108 E 1st Avenue	"$1,149,000"	2	2	Built in 2014 (6 yrs old)	"$3,242"	$538	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	1 Storey																	
409 2508 Fraser Street	"$989,900"	1	2	Built in 2020 (0 yrs old)	$0	$409	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	"1 Storey,Upper Unit"																	
Th1 2508 Fraser Street	"$1,499,900"	2	3	Built in 2020 (0 yrs old)	$0	$748	Vancouver East	Mount Pleasant East	Townhouse	Freehold Strata	3 Storey w/Bsmt.																	
407 272 E 4th Avenue	"$998,000"	1	2	Built in 1995 (25 yrs old)	"$3,147"	$414	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	"Live/Work Studio,Loft/Warehouse Conv."																	
13 280 E 6th Avenue	"$949,000"	1	1	Built in 1901 (119 yrs old)	"$2,598"	$312	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	"Live/Work Studio,Loft/Warehouse Conv."																	
1303 1688 Pullman Porter Street	"$2,799,000"	2	2	Built in 2018 (2 yrs old)	"$5,813"	$552	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	"Corner Unit,Penthouse"																	
1803 1708 Ontario Street	"$3,600,000"	4	3	Built in 2019 (1 yrs old)	"$8,090"	$579	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	"Corner Unit,Penthouse"																	
1802 1708 Ontario Street	"$2,500,000"	3	2	Built in 2019 (1 yrs old)	"$5,679"	$495	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	Penthouse																	
409 256 E 2nd Avenue	"$699,000"	1	1	Built in 2009 (11 yrs old)	"$1,987"	$283	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	Upper Unit																	
17 531 E 16th Avenue	"$1,299,000"	3	2	Built in 2017 (3 yrs old)	"$3,575"	$482	Vancouver East	Mount Pleasant East	Townhouse	Freehold Strata	"End Unit,Ground Level Unit"																	
11 531-541 E 6th Avenue	"$899,000"	2	2	Built in 2021 (-1 yrs old)	$0	$277	Vancouver East	Mount Pleasant East	Apt/Condo	Freehold Strata	1 Storey																	
9 531-541 E 6th Avenue	"$1,550,000"	3	3	Built in 2021 (-1 yrs old)	$0	$467	Vancouver East	Mount Pleasant East	Townhouse	Freehold Strata	2 Storey																	
209 2889 E 1st Avenue	"$499,900"	1	1	Built in 2019 (1 yrs old)	"$1,375"	$218	Vancouver East	Renfrew	Apt/Condo	Freehold Strata	Inside Unit																	
3288 E 2nd Avenue	"$1,498,000"	4	4	40 ft x 124 ft (4960 ft²)	Built in 2020 (0 yrs old)	$0	$0	Vancouver East	Renfrew	Duplex	Freehold Strata																	
517 2888 E 2nd Avenue	"$469,000"	1	1	Built in 2013 (7 yrs old)	"$1,273"	$213	Vancouver East	Renfrew	Apt/Condo	Freehold Strata	"Inside Unit,Penthouse"																	
2180 Rupert Street	"$1,499,800"	5	2	33 ft x 122 ft (4026 ft²)	Built in 1954 (66 yrs old)	"$4,961"	Vancouver East	Renfrew	House	Freehold NonStrata	Rancher/Bungalow w/Bsmt.																	
531 Rupert Street	"$1,449,000"	6	3	33 ft x 120 ft (3960 ft²)	Built in 1967 (53 yrs old)	"$5,416"	Vancouver East	Renfrew	House	Freehold NonStrata	2 Storey																	
2531 E 5th Avenue	"$1,399,900"	4	2	33 ft x 122 ft (4026 ft²)	Built in 1964 (56 yrs old)	"$5,125"	Vancouver East	Renfrew	House	Freehold NonStrata	Basement Entry																	
204 2505 E Broadway	"$629,000"	2	2	Built in 1995 (25 yrs old)	"$1,622"	$515	Vancouver East	Renfrew	Apt/Condo	Freehold Strata	Inside Unit																	
1991 Cassiar Street	"$1,199,000"	5	3	0 ft²	Built in 2012 (8 yrs old)	"$3,082"	$0	Vancouver East	Renfrew	Duplex	Freehold Strata																	
2646 E 4th Avenue	"$1,580,000"	3	2	33 ft x 122 ft (4026 ft²)	Built in 1947 (73 yrs old)	"$5,086"	Vancouver East	Renfrew	House	Freehold NonStrata	Rancher/Bungalow w/Bsmt.																	
3254 E 6th Avenue	"$2,438,800"	9	8	33 ft x 122 ft (4026 ft²)	Built in 2019 (1 yrs old)	"$6,696"	Vancouver East	Renfrew	House	Freehold NonStrata	2 Storey w/Bsmt.																	
2915 Parker Street	"$1,668,000"	3	2	33 ft x 146 ft (4724 ft²)	Built in 1946 (74 yrs old)	"$5,248"	Vancouver East	Renfrew	House	Freehold NonStrata	2 Storey																	
636 Cassiar Street	"$1,325,000"	3	2	33 ft x 122 ft (4026 ft²)	Built in 1914 (106 yrs old)	"$4,743"	Vancouver East	Renfrew	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3466 E Pender Street	"$1,998,000"	0	0	49 ft x 155 ft (7673 ft²)	Built in 1918 (102 yrs old)	"$6,498"	Vancouver East	Renfrew	House	Freehold NonStrata	2 Storey w/Bsmt.																	
2438 Rupert Street	"$1,999,999"	4	2	33 ft x 122 ft (4026 ft²)	Built in 1954 (66 yrs old)	"$4,945"	Vancouver East	Renfrew	House	Freehold NonStrata	2 Storey																	
2416 Rupert Street	"$1,999,999"	7	5	33 ft x 122 ft (4026 ft²)	Built in 1947 (73 yrs old)	"$5,295"	Vancouver East	Renfrew	House	Freehold NonStrata	2 Storey																	
3306 E 8th Avenue	"$1,999,999"	5	3	33 ft x 122 ft (4026 ft²)	Built in 1980 (40 yrs old)	"$5,166"	Vancouver East	Renfrew	House	Freehold NonStrata	2 Storey																	
2428 Rupert Street	"$1,999,999"	5	2	33 ft x 122 ft (4026 ft²)	Built in 1963 (57 yrs old)	"$5,010"	Vancouver East	Renfrew	House	Freehold NonStrata	2 Storey																	
202 2889 E 1st Avenue	"$680,000"	3	2	Built in 2019 (1 yrs old)	"$1,452"	$293	Vancouver East	Renfrew	Apt/Condo	Freehold Strata	Inside Unit																	
3428 E 4th Avenue	"$1,768,000"	6	4	33 ft x 124 ft (4092 ft²)	Built in 2002 (18 yrs old)	"$6,083"	Vancouver East	Renfrew	House	Freehold NonStrata	2 Storey w/Bsmt.																	
2110 Renfrew Street	"$1,349,000"	4	2	33 ft x 122 ft (4026 ft²)	Built in 1941 (79 yrs old)	"$4,921"	Vancouver East	Renfrew	House	Freehold NonStrata	"2 Storey,Rancher/Bungalow w/Bsmt."																	
