address,price,bedrooms,bath,lot_size,property_age,gross_tax_for_2020,area,Sub-Area/Community,Property_Type,title,style,heating_type,Depth,frontage,,,,,,,,,,,,,,
2478 E 48th Avenue,"$1,780,000",4,2,47 ft x 119 ft (5633 ft²),Built in 1963 (57 yrs old),"$5,842",Vancouver East,Killarney,House,Freehold NonStrata,2 Storey,119.85,47.00 feet,R2498731,,,,,,,,,,,,,,
1715 E 47th Avenue,"$1,580,000",6,2,33 ft x 120 ft (3960 ft²),Built in 1960 (60 yrs old),"$4,923",Vancouver East,Killarney,House,Freehold NonStrata,2 Storey,120,33.00 feet,R2446314,,,,,,,,,,,,,,
3169 E 45th Avenue,"$1,688,000",5,4,30 ft x 120 ft (3600 ft²),Built in 2002 (18 yrs old),"$5,178",Vancouver East,Killarney,House,Freehold NonStrata,2 Storey,120,30.00 feet,R2524883,,,,,,,,,,,,,,
6841 Tyne Street,"$1,499,000",5,2,33 ft x 113 ft (3729 ft²),Built in 1957 (63 yrs old),"$4,807",Vancouver East,Killarney,House,Freehold NonStrata,2 Storey,113,33.00 feet,R2524274,,,,,,,,,,,,,,
2827 E 43 Avenue,"$1,698,888",5,4,50 ft x 114 ft (5745 ft²),Built in 2020 (0 yrs old),"$5,676",Vancouver East,Killarney,Duplex,Freehold NonStrata,2 Storey w/Bsmt.,114.9,50.00 feet,R2524146,,,,,,,,,,,,,,
202 6555 Victoria Drive,"$498,000",1,1,Built in 2017 (3 yrs old),"$1,305",$300,Vancouver East,Killarney,Apt/Condo,Freehold Strata,Upper Unit,R2523693,Michael K Chiang,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
6669 Raleigh Street,"$1,858,000",5,4,40 ft x 141 ft (0 ft²),Built in 2020 (0 yrs old),$0,$0,Vancouver East,Killarney,Duplex,Freehold NonStrata,2 Storey w/Bsmt.,141.08,40.00 feet,,,,,,,,,,,,,,
5710 Berkeley Street,"$1,745,800",5,3,37 ft x 117 ft (4329 ft²),Built in 1979 (41 yrs old),"$5,090",Vancouver East,Killarney,House,Freehold NonStrata,"2 Storey,Basement Entry",117,37.00 feet,R2522720,,,,,,,,,,,,,,
1960 E 52nd Avenue,"$1,448,000",5,2,32 ft x 105 ft (3385 ft²),Built in 1955 (65 yrs old),"$5,064",Vancouver East,Killarney,House,Freehold NonStrata,2 Storey,105.8,32.00 feet,R2523107,,,,,,,,,,,,,,
3188 E 43rd Avenue,"$2,399,000",6,6,46 ft x 132 ft (6072 ft²),Built in 2020 (0 yrs old),"$5,932",Vancouver East,Killarney,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,132,46.00 feet,,,,,,,,,,,,,,
5816 Beatrice Street,"$1,338,000",5,2,33 ft x 117 ft (3874 ft²),Built in 1951 (69 yrs old),"$4,895",Vancouver East,Killarney,House,Freehold NonStrata,1 1/2 Storey,117.41,33.00 feet,R2523054,,,,,,,,,,,,,,
6696 Nanaimo Street,"$1,700,000",5,2,48 ft x 115 ft (5523 ft²),Built in 1956 (64 yrs old),"$5,676",Vancouver East,Killarney,House,Freehold NonStrata,2 Storey,115.07,48.00 feet,R2520247,,,,,,,,,,,,,,
6936 Balmoral Street,"$2,099,000",6,5,32 ft x 108 ft (3456 ft²),Built in 2012 (8 yrs old),"$6,937",Vancouver East,Killarney,House,Freehold NonStrata,2 Storey w/Bsmt.,108,32.00 feet,R2518867,,,,,,,,,,,,,,
206 1958 E 47th Avenue,"$538,000",2,1,Built in 1993 (27 yrs old),"$1,361",$294,Vancouver East,Killarney,Apt/Condo,Freehold Strata,Upper Unit,R2518784,Sunny Dhaliwal,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
2822 E 43rd Avenue,"$2,100,000",5,4,40 ft x 126 ft (5051 ft²),Built in 1988 (32 yrs old),"$6,108",Vancouver East,Killarney,House,Freehold NonStrata,2 Storey,126.26,40.00 feet,R2518762,,,,,,,,,,,,,,
2663 E 54th Avenue,"$2,980,000",10,11,6144 ft²,Built in 2014 (6 yrs old),"$8,282",Vancouver East,Killarney,House,Freehold NonStrata,"Laneway House,3 Storey w/Bsmt",Heat Recovery Ventilator,50.01 feet,R2518241,,,,,,,,,,,,,,
2052 E 49th Avenue,"$1,288,000",3,4,33 ft x 144 ft (4752 ft²),Built in 2020 (0 yrs old),Vancouver East,Killarney,Duplex,Freehold Strata,3 Storey,144,33.00 feet,R2517249,Deepak Jagpal PREC*,,,,,,,,,,,,,,
68 6501 Chambord Place,"$988,000",3,3,Built in 1990 (30 yrs old),"$2,458",$586,Vancouver East,Killarney,Townhouse,Freehold Strata,"2 Storey w/Bsmt.,End Unit",R2515405,Grace Liew,Team 3000 Realty Ltd.,,,,,,,,,,,,,,
207 6991 Victoria Drive,"$349,000",0,1,Built in 1999 (21 yrs old),$949,$187,Vancouver East,Killarney,Apt/Condo,Freehold Strata,Inside Unit,R2514608,Jose Rivera,Nu Stream Realty Inc.,,,,,,,,,,,,,,
6930 Rupert Street,"$2,798,000",7,7,33 ft x 143 ft (4724 ft²),Built in 2020 (0 yrs old),"$6,427",Vancouver East,Killarney,House,Freehold NonStrata,"2 Storey w/Bsmt.,Corner Unit",143,33.00 feet,R2514503,,,,,,,,,,,,,,
6191 Boundary Road,"$1,490,000",6,3,5406 ft²,Built in 1965 (55 yrs old),"$5,120",Vancouver East,Killarney,House,Freehold NonStrata,2 Storey,45.05 feet,R2511912,Morning Li PREC*,,,,,,,,,,,,,,
2060 E 51st Avenue Avenue,"$1,720,000",4,4,33 ft x 122 ft (4026 ft²),Built in 1990 (30 yrs old),"$5,723",Vancouver East,Killarney,House,Freehold NonStrata,2 Storey w/Bsmt.,122,33.00 feet,R2425406,,,,,,,,,,,,,,
2211 E 43rd Avenue,"$1,790,000",6,4,33 ft x 112 ft (3703 ft²),Built in 2010 (10 yrs old),"$5,957",Vancouver East,Killarney,House,Freehold NonStrata,2 Storey,112.2,33.00 feet,R2509860,,,,,,,,,,,,,,
2155 E 51st Avenue,"$2,180,000",6,6,33 ft x 122 ft (4026 ft²),Built in 2013 (7 yrs old),"$5,714",Vancouver East,Killarney,House,Freehold NonStrata,3 Storey,Heat Recovery Ventilator,122,33.00 feet,,,,,,,,,,,,,,
6831 Victoria Drive,"$1,050,000",3,3,0 ft²,Built in 2006 (14 yrs old),"$3,450",Vancouver East,Killarney,Duplex,Freehold NonStrata,2 Storey,R2507615,Wendell Bautista,Royal LePage Sussex,,,,,,,,,,,,,,
5638 Wessex Street,"$729,000",3,3,Built in 1999 (21 yrs old),"$1,618",$435,Vancouver East,Killarney,Townhouse,Freehold Strata,2 Storey,R2506782,Brittany Vu,Royal LePage West Real Estate Services,,,,,,,,,,,,,,
6776 Arlington Street,"$774,000",4,2,Built in 1972 (48 yrs old),"$1,514",$165,Vancouver East,Killarney,Townhouse,Freehold Strata,"2 Storey w/Bsmt.,Split Entry",R2506405,Van Anh,Royal Pacific Realty Corp.,,,,,,,,,,,,,,
5795 Wales Street,"$948,000",2,2,Built in 2018 (2 yrs old),"$2,264",$315,Vancouver East,Killarney,Townhouse,Freehold Strata,2 Storey,R2504065,Simon Lai PREC*,Rennie & Associates Realty Ltd.,,,,,,,,,,,,,,
3143 E 46th Avenue,"$1,720,000",4,4,33 ft x 109 ft (3597 ft²),Built in 1992 (28 yrs old),"$5,646",Vancouver East,Killarney,House,Freehold NonStrata,2 Storey w/Bsmt.,109,33.00 feet,R2503277,,,,,,,,,,,,,,
5756 St. Margarets Street,"$1,880,000",6,3,41 ft x 117 ft (4838 ft²),Built in 1980 (40 yrs old),"$5,795",Vancouver East,Killarney,House,Freehold NonStrata,2 Storey,117,41.35 feet,R2501087,,,,,,,,,,,,,,
6281 Knight Street,"$2,450,000",5,4,43 ft x 115 ft (4945 ft²),Built in 1964 (56 yrs old),"$5,433",Vancouver East,Knight,House,Freehold NonStrata,2 Storey,115,43.00 feet,R2524247,,,,,,,,,,,,,,
6295 Knight Street,"$2,450,000",5,4,43 ft x 115 ft (4945 ft²),Built in 1964 (56 yrs old),"$5,000",Vancouver East,Knight,House,Freehold NonStrata,2 Storey,115,43.00 feet,R2522316,,,,,,,,,,,,,,
4480 Knight Street,"$2,398,000",5,2,48 ft x 113 ft (5426 ft²),Built in 1948 (72 yrs old),"$5,060",Vancouver East,Knight,House,Freehold NonStrata,2 Storey w/Bsmt.,113,48.01 feet,R2521944,,,,,,,,,,,,,,
1375 E 18th Avenue,"$1,349,000",5,3,29 ft x 121 ft (3598 ft²),Built in 1992 (28 yrs old),"$6,360",Vancouver East,Knight,House,Freehold NonStrata,2 Storey w/Bsmt.,121.93,29.51 feet,R2516859,,,,,,,,,,,,,,
1389 E 18th Avenue,"$1,349,000",5,3,29 ft x 121 ft (3598 ft²),Built in 1992 (28 yrs old),"$5,453",Vancouver East,Knight,House,Freehold NonStrata,2 Storey w/Bsmt.,121.93,29.51 feet,R2516865,,,,,,,,,,,,,,
1326 E 36th Avenue,"$2,398,000",7,6,33 ft x 110 ft (3642 ft²),Built in 2018 (2 yrs old),"$5,057",Vancouver East,Knight,House,Freehold NonStrata,"Basement Entry,Laneway House",110.05,33.00 feet,R2485156,,,,,,,,,,,,,,
1604 E 36 Avenue,"$1,198,000",4,4,33 ft x 110 ft (3630 ft²),Built in 2020 (0 yrs old),$0,Vancouver East,Knight,Duplex,Freehold NonStrata,3 Storey w/Bsmt.,Heat Recovery Ventilator,110,33.00 feet,,,,,,,,,,,,,,
526 4078 Knight Street,"$598,800",1,1,Built in 2008 (12 yrs old),"$1,539",$289,Vancouver East,Knight,Apt/Condo,Freehold Strata,1 Storey,R2512910,Joyee Ng PREC*,Pacific Place - Arc Realty Ltd.,,,,,,,,,,,,,,
852 1483 E King Edward Avenue,"$744,800",2,2,Built in 2007 (13 yrs old),"$1,934",$350,Vancouver East,Knight,Apt/Condo,Freehold Strata,"Corner Unit,Upper Unit",R2511610,Bryan Velve PREC*,RE/MAX Crest Realty,,,,,,,,,,,,,,
4580 Dumfries Street,"$1,279,000",3,4,0 ft²,Built in 2020 (0 yrs old),$0,$0,Vancouver East,Knight,Duplex,Freehold Strata,3 Storey,Heat Recovery Ventilator,R2510956,,,,,,,,,,,,,,
1313 E 20th Avenue,"$1,199,900",3,2,Built in 2020 (0 yrs old),$0,$0,Vancouver East,Knight,Townhouse,Freehold Strata,2 Storey,Heat Recovery Ventilator,R2524312,Sean Stevens PREC*,,,,,,,,,,,,,,
1315 E 20th Avenue,"$1,699,900",4,4,49 ft x 122 ft (6039 ft²),Built in 2020 (0 yrs old),$0,$0,Vancouver East,Knight,Duplex,Freehold Strata,2 Storey w/Bsmt.,Heat Recovery Ventilator,122,,,,,,,,,,,,,,
6130 Fleming Street,"$1,850,000",7,4,33 ft x 122 ft (4039 ft²),Built in 1970 (50 yrs old),"$5,291",Vancouver East,Knight,House,Freehold NonStrata,2 Storey,122.37,33.00 feet,R2504563,,,,,,,,,,,,,,
3532 Knight Street,"$1,350,000",4,2,33 ft x 105 ft (3468 ft²),Built in 1948 (72 yrs old),"$4,692",Vancouver East,Knight,House,Freehold NonStrata,2 Storey,105.1,33.00 feet,R2502073,,,,,,,,,,,,,,
318 4028 Knight Street,"$510,000",1,1,Built in 2008 (12 yrs old),"$1,210",$241,Vancouver East,Knight,Apt/Condo,Freehold Strata,"Inside Unit,Upper Unit",R2500742,Diana Klejne PREC*,Stonehaus Realty Corp.,,,,,,,,,,,,,,
4040 Inverness Street,"$1,798,000",5,3,32 ft x 106 ft (3497 ft²),Built in 1928 (92 yrs old),"$6,222",Vancouver East,Knight,House,Freehold NonStrata,"1 1/2 Storey,Basement Entry",106.6,32.80 feet,R2496653,,,,,,,,,,,,,,
3708 Dumfries Street,"$1,599,000",8,4,33 ft x 122 ft (4026 ft²),Built in 1930 (90 yrs old),"$5,538",Vancouver East,Knight,House,Freehold NonStrata,2 Storey,122,33.00 feet,R2495600,,,,,,,,,,,,,,
4228 Perry Street,"$1,150,000",3,3,33 ft x 122 ft (4026 ft²),Built in 2019 (1 yrs old),"$3,403",Vancouver East,Knight,Duplex,Freehold NonStrata,2 Storey,Heat Recovery Ventilator,122,33.00 feet,,,,,,,,,,,,,,
5254 Sherbrooke Street,"$1,775,000",4,4,33 ft x 98 ft (3234 ft²),Built in 2002 (18 yrs old),"$5,292",Vancouver East,Knight,House,Freehold NonStrata,3 Storey,98,33.00 feet,R2503284,,,,,,,,,,,,,,
3458 Knight Street,"$1,800,000",5,2,33 ft x 105 ft (3469 ft²),Built in 1952 (68 yrs old),"$4,774",Vancouver East,Knight,House,Freehold NonStrata,"2 Storey,Split Entry",105.1,33.00 feet,R2429964,,,,,,,,,,,,,,
3470 Knight Street,"$1,800,000",5,2,30 ft x 105 ft (3469 ft²),Built in 1947 (73 yrs old),"$4,614",Vancouver East,Knight,House,Freehold NonStrata,Rancher/Bungalow w/Bsmt.,105.1,30.00 feet,R2429505,,,,,,,,,,,,,,
1333 E 41st Avenue,"$2,388,800",7,2,33 ft x 97 ft (3201 ft²),Built in 1954 (66 yrs old),"$4,310",Vancouver East,Knight,House,Freehold NonStrata,2 Storey,97,33.00 feet,R2389227,,,,,,,,,,,,,,
4717 Lanark Street,"$1,199,888",6,6,24 ft x 132 ft (3267 ft²),Built in 2021 (-1 yrs old),"$5,942",Vancouver East,Knight,House,Freehold NonStrata,2 Storey,132,24.37 feet,R2524828,,,,,,,,,,,,,,
4363 Dumfries Street,"$1,788,000",7,4,39 ft x 118 ft (4640 ft²),Built in 1965 (55 yrs old),"$5,851",Vancouver East,Knight,House,Freehold NonStrata,2 Storey w/Bsmt.,118.13,39.63 feet,R2523270,,,,,,,,,,,,,,
1419 E 27th Avenue,"$2,199,000",2,0,50 ft x 110 ft (5515 ft²),Built in 1945 (75 yrs old),"$5,777",Vancouver East,Knight,House,Freehold NonStrata,Rancher/Bungalow w/Bsmt.,110,50.00 feet,R2523100,,,,,,,,,,,,,,
1427 E 27th Avenue,"$2,199,000",2,0,50 ft x 110 ft (5515 ft²),Built in 1945 (75 yrs old),"$5,873",Vancouver East,Knight,House,Freehold NonStrata,Rancher/Bungalow w/Bsmt.,110,50.00 feet,R2523055,,,,,,,,,,,,,,
5635 Lanark Street,"$1,699,000",6,4,33 ft x 124 ft (4104 ft²),Built in 1987 (33 yrs old),"$5,737",Vancouver East,Knight,House,Freehold NonStrata,2 Storey,124.34,33.00 feet,R2522730,,,,,,,,,,,,,,
5330 Knight Street,"$1,350,000",2,2,33 ft x 114 ft (3784 ft²),Built in 1941 (79 yrs old),"$4,447",Vancouver East,Knight,House,Freehold NonStrata,2 Storey w/Bsmt.,114.65,33.00 feet,R2522120,,,,,,,,,,,,,,
5330 Knight Street,"$1,350,000",2,2,33 ft x 114 ft (3784 ft²),Built in 1941 (79 yrs old),"$4,447",Vancouver East,Knight,House,Freehold NonStrata,2 Storey w/Bsmt.,114.65,33.00 feet,R2522120,,,,,,,,,,,,,,
706 1503 Kingsway Street,"$1,049,900",2,2,Built in 2023 (-3 yrs old),$0,$387,Vancouver East,Knight,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2521705,Ryan Lalonde,MLA Canada Realty,,,,,,,,,,,,,,
1001 1503 Kingsway Street,"$668,900",1,1,Built in 2023 (-3 yrs old),$0,$269,Vancouver East,Knight,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2521650,Ryan Lalonde,MLA Canada Realty,,,,,,,,,,,,,,
311 1503 Kingsway Street,"$689,900",2,1,Built in 2023 (-3 yrs old),$0,$291,Vancouver East,Knight,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2521646,Ryan Lalonde,MLA Canada Realty,,,,,,,,,,,,,,
305 3688 Inverness Street,"$578,000",2,2,Built in 2013 (7 yrs old),"$1,432",$316,Vancouver East,Knight,Apt/Condo,Freehold Strata,"Inside Unit,Upper Unit",R2521015,Cindy Lien PREC*,Jovi Realty Inc.,,,,,,,,,,,,,,
5877 Dumfries Street,"$1,598,000",5,4,33 ft x 123 ft (4068 ft²),Built in 1966 (54 yrs old),"$4,337",Vancouver East,Knight,House,Freehold NonStrata,2 Storey,123.25,33.00 feet,R2504334,,,,,,,,,,,,,,
Ph3 3939 Knight Street,"$699,000",2,2,Built in 2017 (3 yrs old),"$2,086",$443,Vancouver East,Knight,Apt/Condo,Freehold Strata,"Corner Unit,Penthouse",R2520833,Maria Au,Behroyan & Associates Real Estate Services,,,,,,,,,,,,,,
557 1483 E King Edward Avenue,"$568,000",1,1,Built in 2008 (12 yrs old),"$1,624",$272,Vancouver East,Knight,Apt/Condo,Freehold Strata,Corner Unit,R2520543,Vince Chen,Magsen Realty Inc.,,,,,,,,,,,,,,
312 1503 Kingsway Street,"$609,900",1,1,Built in 2023 (-3 yrs old),$0,$237,Vancouver East,Knight,Apt/Condo,Freehold Strata,1 Storey,R2519234,Ryan Lalonde,MLA Canada Realty,,,,,,,,,,,,,,
506 1503 Kingsway Street,"$744,900",2,2,Built in 2023 (-3 yrs old),$0,$300,Vancouver East,Knight,Apt/Condo,Freehold Strata,5 Plus Level,R2517244,Ryan Lalonde,MLA Canada Realty,,,,,,,,,,,,,,
317 1503 Kingsway Street,"$849,900",2,2,Built in 2023 (-3 yrs old),$0,$319,Vancouver East,Knight,Apt/Condo,Freehold Strata,5 Plus Level,R2517217,Ryan Lalonde,MLA Canada Realty,,,,,,,,,,,,,,
320 4028 Knight Street,"$449,800",1,1,Built in 2008 (12 yrs old),"$1,119",$218,Vancouver East,Knight,Apt/Condo,Freehold Strata,Inside Unit,R2517022,Wesley Yu PREC*,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
219 E 20th Avenue,"$694,900",1,2,Built in 2020 (0 yrs old),$0,$305,Vancouver East,Main,Apt/Condo,Freehold Strata,Ground Level Unit,R2523072,Caroline Hong PREC*,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
3260 Quebec Street,"$2,298,000",4,4,44 ft x 132 ft (5808 ft²),Built in 1905 (115 yrs old),"$8,628",Vancouver East,Main,House,Freehold NonStrata,"2 Storey,Carriage/Coach House",132,44.00 feet,R2522891,,,,,,,,,,,,,,
266 E 21st Avenue,"$2,298,000",5,3,33 ft x 122 ft (4036 ft²),Built in 1912 (108 yrs old),"$8,397",Vancouver East,Main,House,Freehold NonStrata,2 Storey w/Bsmt.,122.29,33.00 feet,R2521413,,,,,,,,,,,,,,
5676 Main Street,"$1,338,800",5,2,0 ft²,Built in 1988 (32 yrs old),"$4,242",$0,Vancouver East,Main,Duplex,Freehold Strata,"2 Storey,Corner Unit",R2518210,Bje Tan,,,,,,,,,,,,,,
169 E 22 Avenue,"$2,699,900",6,4,32 ft x 122 ft (3904 ft²),Built in 2007 (13 yrs old),"$7,893",Vancouver East,Main,House,Freehold NonStrata,2 Storey w/Bsmt.,122,32.00 feet,R2513814,,,,,,,,,,,,,,
601 5089 Quebec Street,"$1,499,900",2,2,Built in 2019 (1 yrs old),"$3,897",$513,Vancouver East,Main,Apt/Condo,Freehold Strata,"Corner Unit,Penthouse",R2513627,Ken Leong PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
308 168 E 35th Avenue,"$1,458,800",3,2,Built in 2017 (3 yrs old),"$3,572",$474,Vancouver East,Main,Apt/Condo,Freehold Strata,Corner Unit,Heat Recovery Ventilator,R2512553,Bonnie Brackhaus,,,,,,,,,,,,,,
230 E 17th Avenue,"$2,598,000",5,3,33 ft x 122 ft (4027 ft²),Built in 1908 (112 yrs old),"$6,719",Vancouver East,Main,House,Freehold NonStrata,2 Storey w/Bsmt.,122.03,33.00 feet,R2504572,,,,,,,,,,,,,,
240 E 17th Avenue,"$2,398,000",5,4,33 ft x 122 ft (4027 ft²),Built in 1910 (110 yrs old),"$6,648",Vancouver East,Main,House,Freehold NonStrata,2 Storey w/Bsmt.,122.03,33.00 feet,R2504570,,,,,,,,,,,,,,
223 E 20th Avenue,"$659,900",1,2,Built in 2020 (0 yrs old),$0,$296,Vancouver East,Main,Apt/Condo,Freehold Strata,Ground Level Unit,R2504270,Caroline Hong PREC*,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
603 5089 Quebec Street,"$1,537,900",3,2,Built in 2019 (1 yrs old),"$3,917",$513,Vancouver East,Main,Apt/Condo,Freehold Strata,"Corner Unit,Penthouse",R2504376,Ken Leong PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
203 6460 Main Street,"$775,000",2,2,Built in 2006 (14 yrs old),"$1,723",$333,Vancouver East,Main,Apt/Condo,Freehold Strata,Upper Unit,R2491621,Nick Moroso PREC*,Dexter Realty,,,,,,,,,,,,,,
229 E 20th Avenue,"$699,900",1,2,Built in 2020 (0 yrs old),$0,$306,Vancouver East,Main,Apt/Condo,Freehold Strata,Ground Level Unit,R2480906,Caroline Hong PREC*,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
87 E 46th Avenue,"$1,699,000",8,5,32 ft x 126 ft (4032 ft²),Built in 1988 (32 yrs old),"$7,040",Vancouver East,Main,House,Freehold NonStrata,2 Storey,126,32.00 feet,R2524377,,,,,,,,,,,,,,
150 E 46th Avenue,"$2,368,000",6,4,32 ft x 126 ft (4032 ft²),Built in 2009 (11 yrs old),"$7,735",Vancouver East,Main,House,Freehold NonStrata,2 Storey,Heat Recovery Ventilator,126,32.00 feet,,,,,,,,,,,,,,
150 E 46th Avenue,"$2,368,000",6,4,32 ft x 126 ft (4032 ft²),Built in 2009 (11 yrs old),"$7,735",Vancouver East,Main,House,Freehold NonStrata,2 Storey,Heat Recovery Ventilator,126,32.00 feet,,,,,,,,,,,,,,
4980 Walden Street,"$3,280,000",4,5,33 ft x 122 ft (4026 ft²),Built in 2020 (0 yrs old),"$5,001",Vancouver East,Main,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,122,33.00 feet,,,,,,,,,,,,,,
4994 Main Street,"$2,350,000",4,2,33 ft x 112 ft (3696 ft²),Built in 1970 (50 yrs old),"$5,597",Vancouver East,Main,House,Freehold NonStrata,2 Storey,112,33.00 feet,R2518692,,,,,,,,,,,,,,
303 189 Ontario Place,"$499,000",1,1,Built in 2003 (17 yrs old),"$1,404",$344,Vancouver East,Main,Apt/Condo,Freehold Strata,Corner Unit,R2518029,Ann Au,Macdonald Realty Westmar,,,,,,,,,,,,,,
381 E 34th Avenue,"$1,599,000",4,3,33 ft x 105 ft (3494 ft²),Built in 1945 (75 yrs old),"$5,354",Vancouver East,Main,House,Freehold NonStrata,2 Storey w/Bsmt.,105.9,33.00 feet,R2517742,,,,,,,,,,,,,,
5670 Sophia Street,"$2,900,000",6,4,33 ft x 125 ft (4125 ft²),Built in 1988 (32 yrs old),"$6,819",Vancouver East,Main,House,Freehold NonStrata,2 Storey,125,33.00 feet,R2514843,,,,,,,,,,,,,,
11 E King Edward Avenue,"$1,649,000",4,3,33 ft x 100 ft (3300 ft²),Built in 1976 (44 yrs old),"$5,188",Vancouver East,Main,House,Freehold NonStrata,2 Storey,100,33 feet,R2512977,,,,,,,,,,,,,,
368 E 33rd Avenue,"$3,860,000",6,7,33 ft x 98 ft (3325 ft²),Built in 2012 (8 yrs old),"$7,033",Vancouver East,Main,House,Freehold NonStrata,3 Storey,98.5,33.75 feet,R2512169,,,,,,,,,,,,,,
4891 Walden Street,"$2,699,000",5,6,32 ft x 132 ft (4224 ft²),Built in 2007 (13 yrs old),"$7,001",Vancouver East,Main,House,Freehold NonStrata,2 Storey w/Bsmt.,132,32.00 feet,R2511189,,,,,,,,,,,,,,
311 189 Ontario Place,"$673,000",2,2,Built in 2003 (17 yrs old),"$1,723",$410,Vancouver East,Main,Apt/Condo,Freehold Strata,"Corner Unit,Upper Unit",R2496560,Richard Liu,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
55 E 49th Avenue,"$2,500,000",7,3,33 ft x 142 ft (4686 ft²),Built in 1971 (49 yrs old),"$6,039",Vancouver East,Main,House,Freehold NonStrata,2 Storey,142,33.00 feet,R2493305,,,,,,,,,,,,,,
3071 Clark Drive,"$1,699,900",3,4,35 ft x 136 ft (4760 ft²),Built in 2020 (0 yrs old),$0,$0,Vancouver East,Mount Pleasant East,Duplex,Freehold Strata,3 Storey,136,35.00 feet,,,,,,,,,,,,,1,Yes
1604 1708 Ontario Street,"$828,000",1,1,Built in 2019 (1 yrs old),"$2,352",$229,Vancouver East,Mount Pleasant East,Apt/Condo,Freehold Strata,Corner Unit,R2524538,Grace Kwok,Anson Realty Ltd.,,,,,,,,,,,,,,
1203 1708 Ontario Street,"$1,169,900",2,2,Built in 2019 (1 yrs old),"$3,332",$338,Vancouver East,Mount Pleasant East,Apt/Condo,Freehold Strata,"Corner Unit,Upper Unit",R2524471,Grace Kwok,Anson Realty Ltd.,,,,,,,,,,,,,,
306 930 E 7th Avenue,"$444,800",1,1,Built in 1974 (46 yrs old),$823,$247,Vancouver East,Mount Pleasant East,Apt/Condo,Freehold Strata,"Penthouse,Upper Unit",R2523511,John Ly PREC*,Oakwyn Realty Ltd.,,,,,,,,,,,,,,
1103 1708 Ontario Street,"$1,189,000",2,2,Built in 2019 (1 yrs old),"$3,303",$330,Vancouver East,Mount Pleasant East,Apt/Condo,Freehold Strata,Upper Unit,R2523292,Tracy Niu PREC*,Nu Stream Realty Inc.,,,,,,,,,,,,,,
26 E 1st Avenue,"$1,500,000",3,3,Built in 2019 (1 yrs old),"$4,122",$439,Vancouver East,Mount Pleasant East,Townhouse,Freehold Strata,2 Storey,R2523111,Grace Kwok,Anson Realty Ltd.,,,,,,,,,,,,,,
485 E 11th Avenue,"$1,788,800",3,4,Built in 2020 (0 yrs old),$0,$0,Vancouver East,Mount Pleasant East,Townhouse,Freehold Strata,2 Storey,Heat Recovery Ventilator,R2524309,Sean Stevens PREC*,,,,,,,,,,,,,,
413 2142 Carolina Street,"$449,900",1,1,Built in 1976 (44 yrs old),"$1,271",$374,Vancouver East,Mount Pleasant East,Apt/Condo,Freehold Strata,"Corner Unit,Penthouse",R2523020,Wayne Dick,RE/MAX All Points Realty,,,,,,,,,,,,,,
915 1618 Quebec Street,"$729,900",1,1,Built in 2014 (6 yrs old),"$1,786",$364,Vancouver East,Mount Pleasant East,Apt/Condo,Freehold Strata,1 Storey,R2521687,Jason Lim PREC*,RE/MAX Crest Realty,,,,,,,,,,,,,,
307 311 E 6th Avenue,"$628,000",1,1,Built in 2017 (3 yrs old),"$1,559",$223,Vancouver East,Mount Pleasant East,Apt/Condo,Freehold Strata,Upper Unit,R2521653,Maggie Zhu PREC*,RE/MAX Crest Realty,,,,,,,,,,,,,,
1010 E 7th Avenue,"$1,349,900",2,2,Built in 2020 (0 yrs old),$0,$0,Vancouver East,Mount Pleasant East,Townhouse,Freehold Strata,2 Storey,Heat Recovery Ventilator,R2518772,Sean Stevens PREC*,,,,,,,,,,,,,,
1014 E 7th Avenue,"$1,375,000",3,2,Built in 2020 (0 yrs old),$0,$0,Vancouver East,Mount Pleasant East,Apt/Condo,Freehold Strata,1 Storey,Heat Recovery Ventilator,R2518773,Sean Stevens PREC*,,,,,,,,,,,,,,
505 110 Switchmen Street,"$1,150,000",2,2,Built in 2014 (6 yrs old),"$3,091",$643,Vancouver East,Mount Pleasant East,Apt/Condo,Freehold Strata,1 Storey,R2518529,Iman Moghadam PREC*,RE/MAX Masters Realty,,,,,,,,,,,,,,
1016 E 7th Avenue,"$1,288,000",2,2,Built in 2020 (0 yrs old),$0,$0,Vancouver East,Mount Pleasant East,Townhouse,Freehold Strata,2 Storey w/Bsmt.,Heat Recovery Ventilator,R2524311,Sean Stevens PREC*,,,,,,,,,,,,,,
